date,motion
2015-02-16 15:11:19,0
2015-02-16 15:11:19,1
2015-02-16 15:16:26,1
2015-02-16 15:16:26,0
2015-02-16 15:16:28,0
2015-02-16 15:16:28,1
2015-02-16 15:21:28,1
2015-02-16 15:21:28,0
2015-02-16 15:21:31,0
2015-02-16 15:21:31,1
2015-02-16 15:26:32,1
2015-02-16 15:26:32,0
2015-02-16 15:26:49,0
2015-02-16 15:26:49,1
2015-02-16 15:31:50,1
2015-02-16 15:31:50,0
2015-02-16 15:34:17,0
2015-02-16 15:34:17,1
2015-02-16 15:39:18,1
2015-02-16 15:39:18,0
2015-02-16 15:39:19,0
2015-02-16 15:39:19,1
2015-02-16 15:44:20,1
2015-02-16 15:44:20,0
2015-02-16 15:44:25,0
2015-02-16 15:44:25,1
2015-02-16 15:49:26,1
2015-02-16 15:49:26,0
2015-02-16 15:50:56,0
2015-02-16 15:50:56,1
2015-02-16 15:55:57,1
2015-02-16 15:55:57,0
2015-02-16 15:56:17,0
2015-02-16 15:56:17,1
2015-02-16 16:01:18,1
2015-02-16 16:01:18,0
2015-02-16 16:02:51,0
2015-02-16 16:02:51,1
2015-02-16 16:07:52,1
2015-02-16 16:07:52,0
2015-02-16 16:08:47,0
2015-02-16 16:08:47,1
2015-02-16 16:13:47,1
2015-02-16 16:13:47,0
2015-02-16 16:14:47,0
2015-02-16 16:14:47,1
2015-02-16 16:19:48,1
2015-02-16 16:19:48,0
2015-02-16 16:20:28,0
2015-02-16 16:20:28,1
2015-02-16 16:25:29,1
2015-02-16 16:25:29,0
2015-02-16 16:27:55,0
2015-02-16 16:27:55,1
2015-02-16 16:32:57,1
2015-02-16 16:32:57,0
2015-02-16 16:32:59,0
2015-02-16 16:32:59,1
2015-02-16 16:38:03,1
2015-02-16 16:38:03,0
2015-02-16 16:38:04,0
2015-02-16 16:38:04,1
2015-02-16 16:43:05,1
2015-02-16 16:43:05,0
2015-02-16 16:43:07,0
2015-02-16 16:43:07,1
2015-02-16 16:48:07,1
2015-02-16 16:48:07,0
2015-02-16 16:48:48,0
2015-02-16 16:48:48,1
2015-02-16 16:53:49,1
2015-02-16 16:53:49,0
2015-02-16 16:54:06,0
2015-02-16 16:54:06,1
2015-02-16 16:59:06,1
2015-02-16 16:59:06,0
2015-02-16 17:00:24,0
2015-02-16 17:00:24,1
2015-02-16 17:05:24,1
2015-02-16 17:05:24,0
2015-02-16 17:06:27,0
2015-02-16 17:06:27,1
